ID,TIPO DE EQUIPO,MARCA,MODELO,MAC,N/S,S.O.,NOMBRE,CONTRASEÑA,RAM,ALMACENAMIENTO (Gb),PROCESADOR,UBICACION,ESTADO,LICENCIA DE TECNO CARNES,LICENCIA SO,OBSERVACION
1,SERVER,DELL,OptiPlex 7090,74-86-E2-35-E5-A1,HM9F6Q3,WINDOWS 10 PRO,SVRCENTRO,,16,500 SSD / 1000 HDD,Intel(R) Core(TM) i5-10505 CPU @ 3.20GHz   3.19 GHz,OFICINA,OK,SI,SI,
2,SERVER,DELL,VOSTRO 3681,A4-BB-6D-DE-6C-BC,GXVDF73,ISSABEL,ISSABEL.LOCAL,,8,1000 HDD,Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz  3.60 GHz,OFICINA,OK,NO,SI,
3,ESCRITORIO,ACER,VERITON X2670G,98-EE-CB-E0-5B-1A,DTVFAL00912403C1C3000,WINDOWS 11 PRO,CONTADOR,,8,256 SSD / 1000 HDD,Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz  3.60 GHz,OFICINA,OK,SI,SI,
4,ESCRITORIO,INTEL,NUC7CJYHN,88-AE-DD-0B-97-15,G6JY238008W8,WINDOWS 10 PRO,AUXILIAR,,8,256 SSD,Intel(R) Celeron(TM) J4025 CPU @ 2.00GHz  2.00 GHz,OFICINA,OK,NO,SI,
5,ESCRITORIO,INTEL,NUC7CJYHN,88-AE-DD-0B-5C-47,G6JY238007XQ,WINDOWS 10 PRO,TESORERIA,,8,256 SSD,Intel(R) Celeron(TM) J4025 CPU @ 2.00GHz  2.00 GHz,OFICINA,OK,SI,SI,
6,ESCRITORIO,INTEL,NUC7CJYHN,88-AE-DD-0B-48-1A,G6JY23800A0M,WINDOWS 11 PRO,CALL1,,8,256 SSD,Intel(R) Celeron(TM) J4025 CPU @ 2.00GHz  2.00 GHz,CALLCENTER,OK,SI,SI,
7,ESCRITORIO,INTEL,NUC7CJYHN,88-AE-DD-0B-69-A1,G6JY238008Y5,WINDOWS 11 PRO,CALL2,,8,128 SSD,Intel(R) Celeron(TM) J4025 CPU @ 2.00GHz  2.00 GHz,CALLCENTER,OK,SI,SI,
8,ESCRITORIO,INTEL,NUC7CJYHN,88-AE-DD-0B-40-3F,G6JY238007AK,WINDOWS 11 PRO,CALL3,,8,256 SSD,Intel(R) Celeron(TM) J4025 CPU @ 2.00GHz  2.00 GHz,CALLCENTER,OK,SI,SI,
9,ESCRITORIO,INTEL,NUC7CJYHN,88-AE-DD-0B-45-73,G6JY238009TA,WINDOWS 10 PRO,INVENTARIO,,8,256 SSD,Intel(R) Celeron(TM) J4025 CPU @ 2.00GHz  2.00 GHz,SALA DE VENTAS,OK,SI,SI,
10,ESCRITORIO,INTEL,NUC7CJYHN,88-AE-DD-0B-68-64,G6JY238009SH,WINDOWS 10 PRO,CAJA1,,8,256 SSD,Intel(R) Celeron(TM) J4025 CPU @ 2.00GHz  2.00 GHz,SALA DE VENTAS,OK,SI,SI,
11,ESCRITORIO,INTEL,NUC7CJYHN,88-AE-DD-0B-5D-64,G6JY2380084Z,WINDOWS 10 PRO,CAJA2,,8,256 SSD,Intel(R) Celeron(TM) J4025 CPU @ 2.00GHz  2.00 GHz,SALA DE VENTAS,OK,SI,SI,
12,ESCRITORIO,INTEL,NUC7CJYHN,88-AE-DD-0B-96-7D,G6JY238006SH,WINDOWS 10 PRO,CAJA3,,8,256 SSD,Intel(R) Celeron(TM) J4025 CPU @ 2.00GHz  2.00 GHz,SALA DE VENTAS,OK,SI,SI,
13,ESCRITORIO,INTEL,NUC7CJYHN,88-AE-DD-0B-5B-21,G6JY238009S5,WINDOWS 10 PRO,CAJA4,,8,256 SSD,Intel(R) Celeron(TM) J4025 CPU @ 2.00GHz  2.00 GHz,ASADERO,OK,SI,SI,
14,PORTATIL,LENOVO,81WB,A0-80-69-D6-B7-AD,PF3X8607,WINDOWS 10 PRO,ADMINISTRADOR,,8,256 SSD,Intel(R) Core(TM) i3-10110U CPU @ 2.10GHz 2.10 GHz,OFICINA DE ADMINISTRADOR,OK,SI,SI,
